,Date,User,Tweet
60,2023-06-15 22:37:47+00:00,creativeddam,"영화 &lt;귀공자&gt; 리뷰(후기), 맑은 눈의 광인으로 변신한 김선호 (출처 : 문화 소믈.. | 블로그) https://t.co/4Ru1aEiQDE #김선호 #KimSeonHo #kimseonmovie #귀공자 #영화귀공자 #귀공자후기"
61,2023-06-15 22:27:52+00:00,rphonduty,"Pag akyat ko ng bus sakto si Kim Seon Ho ang balita sa GMA. 

Huhuhhu"
62,2023-06-15 22:24:23+00:00,tallis_ms,"This stranger — this thrillingly assertive woman with a mouth that made his cheeks feel warm— wanted to hear more about Ji-pyeong right now.

Read more from Issue #4 of You Are My Future here:

https://t.co/TWNeZLqg1Y

#HanJiPyeong #StartUp #KimSeonHo #webtoons https://t.co/xnLs7Uv257"
63,2023-06-15 22:23:56+00:00,akiakia02391641,"2023/6/16 ファイティン💙💙💙
【美韓】キム・ソノ（キム・ソンホ）に投票完了！現在の得票数:499票
キム・ソノ（キム・ソンホ）「僕のお願い聞いてくれる？」
人気投票はこちらから↓
 https://t.co/bNHHMQpEx1 #キム・ソノ（キム・ソンホ） #KimSeonHo #김선호 #キム・ソノ https://t.co/dNgYdMDDvE"
64,2023-06-15 21:59:41+00:00,SWarriors0508,"5 days to go‼️
The chase is on! 
#TheChilde showing on June 21!

#KimSeonHo #TheChilde https://t.co/O5k4yQKWkM"
65,2023-06-15 21:29:59+00:00,babygiant05,Ang daldal mu pero sobrang cuteee mu . Saraaap mu ibag at iuweee 😭😭
66,2023-06-15 21:21:21+00:00,Ilianahristov10,A beach without Dusik or #KimSeonHo is a desert! https://t.co/M0raPDk4JO
67,2023-06-15 21:05:35+00:00,Ksh_daemo,"Paid! Lol, will be my 1st copy of a Korean magazine which I can’t read … the things I do for him 💙

#KimSeonHo #김선호 #金宣虎 #คิมซอนโฮ #キムソンホ"
68,2023-06-15 20:42:35+00:00,di_claire,@gnews26 pinagpala ka talaga chingu. 🥰👏👏👏👏
69,2023-06-15 20:41:44+00:00,Ilianahristov10,"Keep the ball rolling, #KimSeonHo,  till it reaches Europe!
(was at the seaside for a week but could see you nowhere around😭🤣) https://t.co/QlVqxP2m7h"
70,2023-06-15 20:08:10+00:00,blue_rose_tkr,"어머나️🩵
右下にもありました🤗
(次号だと思っていたら早速😃)

『貴公子』キム・ソンホ
『귀공자』김선호
『THE CHILDE』KimSeonHo
   (大事なこと☝️なので3回)

次は
✨cover : Kim Seon Ho✨
お願いします🙏

#キムソンホ
#キムソノ
#김선호
#KimSeonHo
#貴公子
#귀공자
#THECHILDE"
71,2023-06-15 19:54:04+00:00,aloha_ksh,"น่ารักสดใส แค่ได้เห็นรอยยิ้มก็มีความสุข

#kimseonho #คิมซอนโฮ #김선호"
72,2023-06-15 19:47:34+00:00,zhariie507,Daddy yang bener aja dong itu belahan dadanya 😂🙏
73,2023-06-15 19:43:28+00:00,waveofthought,"I always thought negatively when things go all wrong. In my life, everything seems to be wrong but this video by Kim Seon Ho is very Comforting.

Video Cr: @llumosmaxxima https://t.co/hMdfa4XlvR"
74,2023-06-15 18:53:06+00:00,NBASS1378327,"@benchtm OMG! I can't contain my excitement! Can't wait to see Kim Seon Ho's charming smile and feel the good vibes he'll bring on July 22, 2023 at Smart Araneta Coliseum! Check my pin tweet bro"
75,2023-06-15 18:46:05+00:00,LittleBobaa90,"우리의 계절 사진전  ◡̈

Now that it’s over, keeping the 💙 in these photographs here ☺️

The gallery is sooo very Seonho, I don’t know how to explain it but it’s really like we’re going back in time with him. It’s full of warmth and emotions [1]

#KimSeonHo #김선호 #คิมซอนโฮ https://t.co/KonUXux3Yj"
