,Date,User,Tweet
37,2023-06-22 23:22:21+00:00,omkaz12,"The childe stage greeting wanna buy? DM me
6/29 Wansimni CGV
&gt;18:40 Center A2seat - 9.0
&gt;16:10 A2Seat aisle - 7.0
6/29 cheongnyangni 
&gt;14:50 A2Seat aisle - 7.0
7/1 Gwanggyo CGV
&gt;13:50 A2Seat aisle - 7.0
#귀공자 #귀공자무대인사 #김선호 
#KimSeonHo #TheChilde #StageGreeting #seou"
38,2023-06-22 23:18:55+00:00,dramabud,"(119-122) #TheChilde

#김선호 #귀공자 #KimSeonho https://t.co/PPq2t6WW4X"
39,2023-06-22 23:16:45+00:00,dramabud,"(115-118) #TheChilde

#김선호 #귀공자 #KimSeonho https://t.co/UFgNkjBM7U"
40,2023-06-22 23:16:04+00:00,so_so2021,"I heard that the rainy season in Korea starts this weekend…😔 Rain, do you really have to come now??? 😫 Please be patient and come later… 🙏 People have to go see #TheChilde #귀공자 #KimSeonHo #김선호 https://t.co/pm6m1Ydr0t"
41,2023-06-22 23:12:56+00:00,seonholoops,"#TheChilde #귀공자 
#KimSeonHo #김선호"
42,2023-06-22 23:09:55+00:00,kimseonhomexico,"Our face every time we see #KimSeonHo 😍

#TheChilde #귀공자
#KimSeonHoFCMexico 🇲🇽 https://t.co/SQubMdNDnC"
43,2023-06-22 23:02:32+00:00,kimseonho_ina,"Annyeong Seonhohada Yogyakarta dan Solo.....

Kebersamaan nonton bareng film perdana oppa yang seruuu

#김선호 #KimSeonHo ◡̈ #kimseonho_ina
#KimSeonHoNewMovie 
#귀공자티저예고편_공개
#TheChilde #귀공자 https://t.co/1zYYt3vpSE"
44,2023-06-22 23:01:46+00:00,kimseonho_ina,"Annyeong Seonhohada Malang....

Kebersamaan nonton bareng film perdana oppa yang seruuu

#김선호 #KimSeonHo ◡̈ #kimseonho_ina
#KimSeonHoNewMovie 
#귀공자티저예고편_공개
#TheChilde #귀공자 https://t.co/gEKL30JgGh"
45,2023-06-22 23:00:56+00:00,gelikoi,Finally watched The Childe!!! It was tough without the subtitles but #KimSeonHo and #kimkangwoo really owned the movie!🥰 So so happy for our good boy! #thechilde #김선호 https://t.co/ifcbM0nwlp
46,2023-06-22 22:54:08+00:00,01_peas,"@CNNIndonesia Kemarin  nonton  #TheChilde, #Kimseonho...keren banget...ngak bisa nonton sekali...🙌🙌💙💙, Wajib nonton ..ada actionnya, ada humorsnya ...buat aku perfect 😍"
47,2023-06-22 22:53:52+00:00,wellgousa,"#TheChilde, directed by Park Hoon-Jung (The Witch), stars #KimSeonHo and #KangTaeJu, arrives in select theaters on June 30. Get tickets now! 🎟️ https://t.co/S2MHudXrTe 

–
#actionmovies #thriller #mystery #movies #poster https://t.co/caOyU70WnE"
48,2023-06-22 22:35:38+00:00,seonharu,"#TheChilde #TheChildeID 
Review: The Childe, Debut Kim Seon-ho Sebagai Psikopat Brutal yang Hobi Tersenyum! - https://t.co/PKFUyaMBAd
Editor: @AlvionitaRani"
49,2023-06-22 21:42:25+00:00,shelaache,#TheChilde tayang ga ya di Bali…. since ga ada CGV 🥹😭🥺
50,2023-06-22 20:54:52+00:00,kimseonhomexico,Segunda semana de estreno de #TheChilde. Nueva sesión de saludos para el 29 de Junio!! 🤩
51,2023-06-22 20:24:24+00:00,msiakpopfans,"""Annyeong chingu! I told you we'd see each other soon.""

#TheChilde starring #KimSeonho, #KangTaeJu, #KimKangWoo and #GoAra.

Coming to your local cinemas this June 29th. https://t.co/CvXHu1xqQC"
52,2023-06-22 20:16:03+00:00,KimSeonHoFCLat,Segunda sesión de saludos para #TheChilde
53,2023-06-22 19:47:09+00:00,Holy_Seonho,230621 씨네타운 #귀공자 #TheChilde #김선호 #kimseonho 💙 https://t.co/rhCrAoNs7f
54,2023-06-22 19:46:13+00:00,Holy_Seonho,230621 개봉 첫날 서울 무인 #귀공자 #TheChilde #김선호 #kimseonho 💙 https://t.co/lQrwt33FoH
55,2023-06-22 19:44:47+00:00,Holy_Seonho,230618 대구 무대인사 #귀공자 #TheChilde #김선호 #kimseonho 💙 https://t.co/krKlp2gW9Z
56,2023-06-22 19:39:46+00:00,Holy_Seonho,"230621 선스타그램) 오늘 개봉합니다 ! 으앜 😖 #귀공자

#귀공자 #TheChilde #김선호 #kimseonho 💙 https://t.co/g0fzIMQftH"
57,2023-06-22 18:20:23+00:00,starxdusts,"#TheChilde
you'll be confused in the first hour but the story is already so intense. the plot is getting exciting in the second hour. must watch✨"
58,2023-06-22 18:10:58+00:00,noskusi,"Setelah opening scene yang sangat menggugah semangat, sayangnya #TheChilde pelan2 berubah menjadi terlalu bertele-tele akibat terlalu mengandalkan menjaga plot twist yg direveal di hampir ujung film… https://t.co/qYQiclSIHv"
59,2023-06-22 18:01:18+00:00,chiliquitasw,"우리 영화 귀공자 정말 재미있다
날 믿으시죠? 진짜예요!🤗
내일 3차 보러 갈거야!

◡̈
#KimSeonHo  
#김선호
#귀공자 #TheChilde https://t.co/WuYFY5cmkk"
60,2023-06-22 17:51:37+00:00,bulolseonho,"Dan jujur gua ga ekspek kalo cgv lmpng rame bgt
Pdhl pas di tix masih ga ada separo kejual 😭
Kalo aja orng2 ga skeptis sama film korea, pasti gua yakin pada suka sama ceritanya 

DAN ABIS NONTON GUA JADI PAHAM KENAPA JUDULNYA GWIGONGJA !!!!

#thechilde #kimseonho"
61,2023-06-22 17:50:14+00:00,jkshum,"Why some feel disconnected.
Unlike Witch, about character.
#TheChilde story based on Marco but titled Nobleman while screen time and background not more as lead. Cross between realism on Kopino, noir action, fantasy &amp; comedy. Expectation mismatch as Witch 3. #김선호 #KimSeonHo https://t.co/o7yD02Ny9m"
62,2023-06-22 17:47:17+00:00,bulolseonho,"GILAAK GUA GA PERESSSS, The childe bagus bgtt
Bahkan temen gua yg non-shhd aja kasih rate 9/10
Selama film gua sama dia nyebut seonho itu psikopat gila 🤣
Dan temen gua paling sebel pas seonho sok2an kakinya sakit, katanya “lebay bgt si lu psikopat gila” 🤣
#TheChilde #KimSeonHo https://t.co/AwxYelDj6D"
63,2023-06-22 17:41:29+00:00,RupsChalke,"#KimSeonho #김선호 
#TheChilde #귀공자"
64,2023-06-22 17:24:55+00:00,kimseonhomexico,"Simplemente perfecto 😍 / #KimSeonHo is just perfect 🔥 Photo shoot for Star1 magazine

#앳스타일 #atstar1
#귀공자 #TheChilde
#김선호 https://t.co/wLljhzGJ8w"
65,2023-06-22 17:23:51+00:00,goyounjund,"@THEACTlO @seonhom Oppa @seonhom, congratulations for your debut film #TheChilde! 🥳🥳🥳 Gak sabar mau icip nontooon! https://t.co/9liSKUe9aa"
66,2023-06-22 17:06:17+00:00,ellkeyg17,Wajib nonton!! #TheChilde #KimSeonHo #TheChildeID https://t.co/ylBaXX9XWi
67,2023-06-22 16:58:51+00:00,FSeonhohadaPH08,"1am Philippines time and here we are still busy printing for freebies💚

#KIMSEONHO
#THECHILDE
#FILOSEONHOHADA
#ACCEPTING
#SAKOSAKONGFREEBIES https://t.co/vN7p0xMpZ8"
68,2023-06-22 16:58:15+00:00,RupsChalke,"#KimSeonho #김선호 
#TheChilde #귀공자"
69,2023-06-22 16:57:34+00:00,zhariie507,"Kalo udah saling nembak gini, fix jadian kan ya kita? Dah ya.. yg laen minggir dulu 🔫😏 #thechilde https://t.co/CYUyaVwEfb"
70,2023-06-22 16:45:09+00:00,Rumputlaaut,#TheChilde 😎😎👍🏻👍🏻 https://t.co/i1fhVcNYnO
71,2023-06-22 16:42:42+00:00,Holy_Seonho,"230622 ㅂㄱㄹ tv) #귀공자 #TheChilde #김선호 #kimseonho 💙 

잠에서 깰 수밖에 없는 광기의 모닝콜, 영화 '귀공자' 유튜브라이브 하이라이트! https://t.co/iEQLainH47"
72,2023-06-22 16:31:36+00:00,RupsChalke,"#KimSeonho #김선호 
#TheChilde #귀공자"
73,2023-06-22 16:09:52+00:00,perseonhofied,I mean I would watch it RIGHT NOW if it was available but unfortunately I live in the Philippines and I can’t see it until July 5 🥹 #TheChilde
74,2023-06-22 16:09:52+00:00,perseonhofied,Since the movie was released on a weekday I’m positive more moviegoers will see it over the weekend ♥️🙏🫡 Let’s goooo hit the cinemas!!! Go on a movie date!! W yourself! W your lover! Idk just watch it thank you 😂 #TheChilde
75,2023-06-22 16:09:38+00:00,Seon_Dimples,Akhirnya nobar #TheChilde di jakarta juga bareng seonho 🤭 https://t.co/9On1ew0Uf8
76,2023-06-22 16:02:07+00:00,liliiiput11,"Kalo inget film #TheChilde pengen banget gue tabok Seonho terus blg ""yang serius ngab, ini film action bukan komedi😂😂😂"" 
Aseli seonho tengil banget disini. 
Buat Marco ""yang sabar ya ngab, semoga setelah ini lo ga bingung lagi"""
77,2023-06-22 15:59:30+00:00,orange_saran,"#キムソンホ 、ズボンが破けるハプニングも！？映画「 #貴公子 」の撮影エピソードを明かす“現場が静まり返った”
#귀공자 #TheChilde
#김선호 #KimSeonHo #キムソノ https://t.co/RhGuyBrad6"
78,2023-06-22 15:56:43+00:00,sogooddamnn,"ปล่อยของ ส่งต่อค่ะ
กระเป๋าผ้า 
Postcard 
Poster 
บัตรตั๋วหนังแบบแข็ง
ยกเซ็ต 500 บาท หรือแยกได้ค่ะ
นัดรับที่ CTW 24/6/2023 ได้เลย
#TheChilde #เทพบุตรล่านรก #คิมซอนโฮ #KimSeonHo https://t.co/cAXLTeqYrl"
79,2023-06-22 15:55:02+00:00,sunhossi,#TheChilde: didn't they tell you that i was a savage https://t.co/1GkYlNicNf
80,2023-06-22 15:52:02+00:00,taako_yaki,"Makasi respon baiknya. Hari ini ngajaki orang kantor nonton film seon ho, keluar bioskop temenku (non seonhohada) sibuk ngefoto2in poster. Ini kejadian jarang lo pdhl kita udh sering nonton bareng film lain. Terbukti film anda bagus pak. So proud of you seon ho #TheChilde https://t.co/8NeKTzUnuc"
81,2023-06-22 15:51:10+00:00,orange_saran,"マガジン #atStar1 7月号のカバーを飾った #キムソノ は、映画『 #貴公子 』でボクサーのマルコを追う謎の男、貴公子役でスクリーンデビューを果たす
#귀공자 #TheChilde
#김선호 #KimSeonHo #キムソンホ https://t.co/3KjnRgpl5S"
82,2023-06-22 15:49:33+00:00,seontora,#김선호 #キムソンホ #キムソノ  #kimseonho  #金宣虎 #귀공자 #thechilde
83,2023-06-22 15:46:30+00:00,anyaimpact,TER SEONHO SEONHO POKOKNYA #THECHILDE 😭😭😭😭😭😭😭
84,2023-06-22 15:45:50+00:00,Alqomah0220,"Aku ngracunin orang buat nnton #TheChilde

Ajeng,nnton the childe plis bagus bngt

Ayok mba temenin aku besok

Duh aku besok gak bisa nih,tapi Minggu aku ke GI,kalo kamu mau aku bisa kok temenin kamu nonton setelah aku selesai nobar😌

(Aku menawarkan diri utk marathon film🥹😌)"
85,2023-06-22 15:41:00+00:00,putrianindita,"nonton ke 3 kalinya tu jadi makin perhatiin micro ekspresinya si nobleman.. Dari muka cengengesan lalu dalam sekejap berubah serius tu bikiinn, takut banget lhoooo 😳 #thechilde"
86,2023-06-22 15:38:21+00:00,iamcalledrina,"Ganteng!

#TheChilde #KimSeonHo https://t.co/eBiLwhI92u"
87,2023-06-22 15:36:02+00:00,heyitsokeyyy,"Duhhhh aku ga bisa berkata apa-apa sama #TheChilde 🤧

Amazing banget, jujur ga berekspektasi apa-apa jadi pas nonton WOW!!

Seonho tengil banget😭 pengen nakol sumpah deh🤣

Rate mercendes/100 deh😙

Minggu aku nonton lagi, nobar bareng SHHD bandung. Can't Wait! https://t.co/ABWIeRuWU3"
88,2023-06-22 15:28:17+00:00,amarinadewi,"@geekahjumma Nonton ke 4 kali, sekalian nyobain di XXI #TheChilde #KimSeonHo #Kimseonho #김선호 https://t.co/jWpfgmhQEL"
89,2023-06-22 15:16:42+00:00,RupsChalke,"#KimSeonho #김선호 
#TheChilde #귀공자"
90,2023-06-22 15:15:53+00:00,chiliquitasw,"2관 귀공자입니까? 이쪽으로 오세요🫱🏻 

◡̈
#KimSeonHo  
#김선호
#귀공자 #TheChilde https://t.co/jqp75sPZ89"
91,2023-06-22 15:08:13+00:00,kdragontwt,"Haven't seen it in my tl, so here we are  on 06/22.

Still at #3: 42,789
CC3 ↔️
Elemental ⬆️
#TheChilde ↔️ https://t.co/V29qnjHG1k"
92,2023-06-22 15:07:50+00:00,jkshum,"Day 2 : Number 3 daily.  
42K total
Lower than opening 64K 
But better than Spidey! 

I feel disappointed on the absolute number but impressed it held on to the 3rd place! 😍🤣🥹

Fighting !!! 💙

#김선호 #KimSeonHo
#TheChilde https://t.co/znw4QJrt7H"
93,2023-06-22 15:07:07+00:00,akudindinya,"Seonhohada pls bantu report vidionya, itu ada foto spoiler nya pls bantu report mentemen 

#thechilde #kimseonho https://t.co/r0pE5SLP91"
94,2023-06-22 15:04:56+00:00,omkaz12,"The childe Stage Greeting

7/1 Gwanggyo CGV 13:50~15:58 A 2Seat Side aisle - 60,000
7/2 Goyang megabox 11:20~13:28 B 2Seat Side aisle - 50,000
Yeongdeungpo lotte 18:10~20:17 C 2Seat Side aisle - 50,000
#귀공자무대인사 #김선호 #귀공자
 #KimSeonHo #TheChilde #StageGreeting #seoul https://t.co/QjuRtM7tPM"
95,2023-06-22 15:04:46+00:00,ygpentingbebas,Watched #TheChilde today and honestly. Best decision of the week.
96,2023-06-22 15:03:05+00:00,yourseonshine,"#TheChilde daily box office 2023.06.22

#3 the whole movies
#2 in korean movies https://t.co/5fMAvX86QX"
97,2023-06-22 15:02:41+00:00,ang_dancingchem,"#TheChilde Screening South Korea
Break-even point: 1.8M admissions
Date: 6/22/2023
Admission: 42,409
Total Admission: 135,939
Total Gross: $939,778
Daily Rank: 3

#KimSeonHo #김선호"
98,2023-06-22 15:01:50+00:00,seon__holic,"🗓️ 2023.06.22
Day 2 #TheChilde #귀공자
- No. 3 Daily Box Office https://t.co/0xbrQFZKP7"
99,2023-06-22 15:01:06+00:00,mamprelfer,"#TheChilde เข้าฉายเป็นวันที่ 2 ติดอันดับ 3 บน Box Office มีผู้ชมในวันนี้รวมทั้งสิ้น 42,777 คน ยอดรวมสะสมอยู่ที่ 136,307 คน https://t.co/U0epmRKYnW"
100,2023-06-22 15:01:05+00:00,kdragontwt,"🙂 On a lighter note:
Op was soooooo wrong 😅🤣

#TheChilde https://t.co/RAWUqDAcs6"
